pipeline,sample_id,sequence,frame_number,field_occlusion_label,auto_severity,status,mean_bone_length,left_right_bone_symmetry_error,joint_angle_feasibility
SAM-3DBody,field_all_fb_18858,RebarPlacement_00,998,severe_detected,severe,ok,0.27286526102029646,0.015126334945133888,1.0
SAM-3DBody,field_all_fb_19017,RebarPlacement_00,1157,severe_detected,severe,ok,0.2738721868954782,0.011924078042785823,1.0
SAM-3DBody,field_all_fb_19396,RebarPlacement_00,1536,severe_detected,severe,ok,0.28777082365928625,0.009230578380415523,1.0
SAM-3DBody,field_all_fb_21510,RebarPlacement_00,3650,severe_detected,severe,ok,0.2727636873898783,0.01147039926153501,1.0
SAM-3DBody,field_all_fb_21512,RebarPlacement_00,3652,severe_detected,severe,ok,0.2716867879964491,0.013554007650671489,1.0
SAM-3DBody,field_all_fb_29436,RebarTying_02,1369,severe_detected,severe,ok,0.2784643864729696,0.009155790592794909,1.0
SAM-3DBody,field_all_fb_00094,MansoryBrickLaying_00,93,severe_detection_failure_temporal_bbox,full,ok,0.27841763118786916,0.00676737298316485,1.0
SAM-3DBody,field_all_fb_01654,MansoryBrickLaying_00,1653,severe_detection_failure_temporal_bbox,full,ok,0.28293703684305027,0.022620761265417403,1.0
SAM-3DBody,field_all_fb_02938,MansoryBrickLaying_01,1275,severe_detection_failure_temporal_bbox,full,ok,0.28638973606818874,0.011058417030678024,1.0
SAM-3DBody,field_all_fb_03241,MansoryBrickLaying_01,1578,severe_detection_failure_temporal_bbox,full,ok,0.28232881812247307,0.00534643437604793,1.0
SAM-3DBody,field_all_fb_04272,MansoryBrickLaying_01,2609,severe_detection_failure_temporal_bbox,full,ok,0.2819829732369317,0.004423597140889537,1.0
SAM-3DBody,field_all_fb_04354,MansoryBrickLaying_01,2691,severe_detection_failure_temporal_bbox,full,ok,0.285594548784273,0.012647585643213458,1.0
SAM-3DBody,field_all_fb_04906,MansoryBrickLaying_01,3243,severe_detection_failure_temporal_bbox,full,ok,0.2854009996352378,0.009541534507738113,1.0
SAM-3DBody,field_all_fb_07573,MansoryBrickLaying_02,2082,severe_detection_failure_temporal_bbox,full,ok,0.26835888666275637,0.005028514112837719,1.0
